112 112
2,1
1,2
3,1
1,3
3,2
2,3
4,1
1,4
4,3
3,4
6,5
5,6
7,6
6,7
8,7
7,8
10,2
2,10
10,3
3,10
10,4
4,10
10,9
9,10
11,4
4,11
12,3
3,12
12,11
11,12
13,10
10,13
13,11
11,13
15,2
2,15
15,3
3,15
15,14
14,15
16,8
8,16
16,14
14,16
17,14
14,17
17,15
15,17
18,2
2,18
18,3
3,18
18,6
6,18
18,8
8,18
18,10
10,18
18,13
13,18
18,14
14,18
18,15
15,18
18,16
16,18
19,2
2,19
19,4
4,19
19,13
13,19
19,14
14,19
20,2
2,20
21,20
20,21
22,3
3,22
22,8
8,22
22,18
18,22
22,19
19,22
22,20
20,22
23,3
3,23
23,18
18,23
23,20
20,23
24,3
3,24
24,20
20,24
25,3
3,25
25,10
10,25
25,18
18,25
25,20
20,25
26,3
3,26
26,10
10,26
26,15
15,26
26,18
18,26
26,20
20,26
27,3
3,27
27,10
10,27
27,18
18,27
27,20
20,27
28,3
3,28
28,6
6,28
28,18
18,28
28,20
20,28
29,2
2,29
29,18
18,29
29,22
22,29
30,19
19,30
30,29
29,30
31,26
26,31
31,29
29,31
32,3
3,32
32,18
18,32
32,29
29,32
33,6
6,33
33,7
7,33
33,16
16,33
33,18
18,33
33,29
29,33
33,32
32,33
34,29
29,34
35,3
3,35
35,18
18,35
35,19
19,35
35,29
29,35
36,18
18,36
36,29
29,36
37,3
3,37
37,15
15,37
37,18
18,37
37,25
25,37
38,8
8,38
38,15
15,38
38,18
18,38
39,8
8,39
39,16
16,39
39,18
18,39
39,38
38,39
40,6
6,40
40,10
10,40
40,39
39,40
41,10
10,41
41,12
12,41
41,39
39,41
42,2
2,42
42,3
3,42
42,4
4,42
42,26
26,42
42,32
32,42
42,39
39,42
43,3
3,43
43,10
10,43
43,42
42,43
44,4
4,44
44,6
6,44
44,13
13,44
44,16
16,44
44,18
18,44
44,19
19,44
44,21
21,44
44,22
22,44
44,24
24,44
44,25
25,44
44,27
27,44
44,28
28,44
44,32
32,44
44,37
37,44
44,40
40,44
44,42
42,44
45,18
18,45
45,19
19,45
45,29
29,45
45,44
44,45
46,2
2,46
46,3
3,46
46,23
23,46
46,45
45,46
47,2
2,47
47,26
26,47
48,24
24,48
48,25
25,48
48,38
38,48
49,16
16,49
49,22
22,49
49,26
26,49
49,36
36,49
49,44
44,49
49,48
48,49
50,25
25,50
50,48
48,50
51,3
3,51
51,11
11,51
51,13
13,51
51,18
18,51
51,19
19,51
51,22
22,51
51,45
45,51
51,49
49,51
52,2
2,52
52,3
3,52
52,4
4,52
52,7
7,52
52,8
8,52
52,18
18,52
52,19
19,52
52,22
22,52
52,24
24,52
52,26
26,52
52,27
27,52
52,31
31,52
52,32
32,52
52,33
33,52
52,35
35,52
52,36
36,52
52,39
39,52
52,43
43,52
52,50
50,52
52,51
51,52
